Judet;Localitate;Siruta;Total numar animale localitate;;;;Cate curti au un nr de bovine dintr-un interval;;;;Cate curti au un nr de ovine dintr-un interval;;;;Cate curti au un nr de caprine dintr-un interval;;;;Cate curti au un nr de porci dintr-un interval;;;
;;;bovine;ovine;caprine;porci;Intre 1 si 2;Intre 3 si 4;Intre 5 si 9;Peste 9;Intre 1 si 5;Intre 6 si 14;Intre 15 si 49;Peste 49;Intre 1 si 2;Intre 3 si 9;Intre 10 si 19;Peste 19;Intre 1 si 2;Intre 3 si 4;Intre 5 si 14;Peste 14
Alba;Coslariu;7400;25;131;0;151;14;1;1;0;3;7;2;0;0;0;0;0;6;3;6;3
Alba;Coslariu Nou;8130;2;5;0;33;1;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1
Alba;Costesti;2185;89;0;0;37;6;7;9;0;0;0;0;0;0;0;0;0;0;1;5;0
Alba;Costesti;6299;247;0;0;146;6;10;24;3;0;0;0;0;0;0;0;0;2;4;14;1
Alba;Cotorasti;6672;150;0;0;3;0;0;8;7;0;0;0;0;0;0;0;0;3;0;0;0
Alba;Craciunelu de Jos;4197;388;2852;0;797;18;7;7;6;15;17;4;10;0;0;0;0;60;20;24;14
Alba;Craciunelu de Sus;3976;71;600;0;3;11;3;0;1;22;6;1;2;0;0;0;0;0;1;0;0
Alba;Craiva;4160;62;575;390;86;3;6;4;1;0;2;0;7;0;0;1;6;8;3;5;1
Alba;Cretesti;3119;97;0;0;25;12;8;8;0;0;0;0;0;0;0;0;0;0;0;3;0
Alba;Cricau;4151;155;1614;836;848;19;9;4;4;1;0;1;8;0;1;2;3;7;7;10;22
Alba;Criseni;8862;27;445;0;0;4;2;2;0;0;1;0;2;0;0;0;0;0;0;0;0
Alba;Cristesti;5924;87;16;0;6;6;2;4;3;0;0;1;0;0;0;0;0;4;0;0;0
Alba;Cucuta;3887;93;316;0;107;2;0;7;3;0;0;1;2;0;0;0;0;6;0;4;3
Alba;Cugir;1703;397;1408;85;207;35;24;19;9;14;12;6;8;1;3;0;2;2;2;10;5
Alba;Culdesti;8489;95;0;0;38;5;2;9;2;0;0;0;0;0;0;0;0;0;0;2;1
Alba;Cunta;7981;144;545;0;73;1;2;0;3;1;1;1;3;0;0;0;0;7;6;2;1
Alba;Curmatura;5372;25;0;0;1;5;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0
Alba;Curpeni;3896;59;74;0;29;3;1;3;2;1;1;0;1;0;0;0;0;5;1;2;0
Alba;Cut;4124;112;4802;0;318;9;4;3;3;14;3;1;8;0;0;0;0;5;12;21;4
Alba;Daia Romana;4259;696;3326;60;1753;74;28;19;22;1;0;1;12;0;0;0;1;86;74;108;21
Alba;Dambureni;3137;38;0;0;3;3;2;2;1;0;0;0;0;0;0;0;0;0;1;0;0
Alba;Dandut;1525;59;0;0;29;6;4;6;0;0;0;0;0;0;0;0;0;1;2;1;1
Alba;Darlesti;4801;259;0;0;150;29;30;18;1;0;0;0;0;0;0;0;0;3;3;6;4
Alba;Deal;4133;86;669;0;194;27;4;1;1;0;2;1;2;0;0;0;0;18;23;8;1
Alba;Dealu Bajului;2443;124;0;0;104;7;16;10;0;0;0;0;0;0;0;0;0;2;5;12;0
Alba;Dealu Bistrii;1534;86;0;0;28;4;6;8;0;0;0;0;0;0;0;0;0;1;0;0;1
Alba;Dealu Capsei;1543;211;31;2;77;12;9;16;4;9;1;0;0;1;0;0;0;3;1;0;2
Alba;Dealu Caselor;6994;110;2;0;53;2;5;7;3;1;0;0;0;0;0;0;0;1;1;2;1
Alba;Dealu Crisului;2719;18;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Dealu Dostatului;4295;1;144;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Alba;Dealu Ferului;8871;13;61;0;0;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Alba;Dealu Frumos;4552;100;0;0;76;1;2;11;2;0;0;0;0;0;0;0;0;1;5;7;0
Alba;Dealu Frumos;8265;236;20;0;220;12;23;21;0;7;0;0;0;0;0;0;0;7;7;15;3
Alba;Dealu Geoagiului;5005;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Dealu Goiesti;8498;84;0;0;43;4;8;6;1;0;0;0;0;0;0;0;0;0;1;0;1
Alba;Dealu Lamasoi;2194;318;0;0;128;9;14;26;6;0;0;0;0;0;0;0;0;1;2;16;0
Alba;Dealu Muntelui;3128;51;0;0;24;4;6;3;0;0;0;0;0;0;0;0;0;0;0;2;0
Alba;Dealu Ordincusii;4561;32;0;0;10;1;1;4;0;0;0;0;0;0;0;0;0;0;0;1;0
Alba;Dealu Roatei;1972;5;84;0;4;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0
Alba;Decea;5782;265;990;133;336;8;7;3;9;6;3;1;6;2;2;0;1;19;10;26;3
Alba;Deoncesti;7516;47;0;0;0;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Deve;2201;51;9;0;14;0;2;4;2;0;1;0;0;0;0;0;0;1;0;2;0
Alba;Dilimani;7525;57;26;0;57;1;3;5;1;4;2;0;0;0;0;0;0;1;0;1;2
Alba;Dobra;8050;145;341;10;50;4;13;5;4;0;1;0;3;2;2;0;0;0;0;1;2
Alba;Dobresti;4570;60;0;0;13;5;7;3;1;0;0;0;0;0;0;0;0;1;0;2;0
Alba;Dobrot;1981;17;122;36;24;1;2;1;0;0;0;0;1;0;1;0;1;1;1;0;1
Alba;Dogaresti;3538;10;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Dolesti;2728;27;0;0;0;4;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Dos;8504;53;0;0;2;4;7;2;1;0;0;0;0;0;0;0;0;1;0;0;0
Alba;Dostat;4277;347;2493;3;26;7;1;0;2;4;2;0;15;0;1;0;0;5;0;2;0
Alba;Dosu Luncii;8513;11;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Dosu Vasesti;8522;7;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Dragoiesti-Lunca;8531;55;1;0;9;5;7;3;0;1;0;0;0;0;0;0;0;0;1;1;0
Alba;Drambar;1099;98;48;6;471;9;3;3;2;0;0;1;0;0;1;0;0;41;4;10;7
Alba;Drasov;7990;14;2863;0;138;9;1;0;0;0;0;1;7;0;0;0;0;5;5;7;1
Alba;Dric;1552;196;26;0;173;4;10;13;5;8;1;0;0;0;0;0;0;5;0;1;5
Alba;Duduieni;6306;77;2;0;23;5;7;5;1;1;0;0;0;0;0;0;0;1;0;3;0
Alba;Dumacesti;2737;36;0;0;0;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Dumbrava;1106;49;70;0;122;4;2;3;1;4;1;2;0;0;0;0;0;33;0;4;1
Alba;Dumbrava;1990;7;281;0;8;3;1;0;0;0;2;0;1;0;0;0;0;1;2;0;0
Alba;Dumbrava;7124;22;608;0;48;2;1;3;0;0;0;0;3;0;0;0;0;3;0;1;2
Alba;Dumbrava;8194;86;2613;1;158;19;10;0;2;12;5;0;5;1;0;0;0;10;6;0;3
Alba;Dumbravita;3903;99;48;0;97;0;2;6;2;0;0;2;0;0;0;0;0;4;2;5;1
Alba;Dumesti;7008;52;6;0;5;6;4;3;1;0;1;0;0;0;0;0;0;1;1;0;0
Alba;Dumitra;7419;81;1111;0;39;3;0;3;4;0;0;1;3;0;0;0;0;5;1;3;0
Alba;Dupa Deal;5381;32;0;0;35;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;2
Alba;Dupa Deal;6413;332;492;50;95;1;2;5;12;0;0;0;2;0;0;0;1;2;3;1;3
Alba;Dupa Plese;2210;139;0;2;73;5;12;16;0;0;0;0;0;1;0;0;0;1;1;8;0
Alba;Durasti;3146;92;0;0;0;0;1;10;2;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Faget;8372;13;526;15;13;0;2;1;0;7;2;1;1;0;1;1;0;5;1;1;0
Alba;Fagetu de Jos;6315;86;8;0;53;4;5;10;0;0;1;0;0;0;0;0;0;1;2;3;1
Alba;Fagetu de Sus;6324;75;0;0;6;5;8;5;1;0;0;0;0;0;0;0;0;1;0;1;0
Alba;Fantinele;3912;22;598;0;111;0;0;2;1;0;0;0;3;0;0;0;0;2;0;0;4
Alba;Farau;4311;223;7695;0;227;19;16;5;5;1;3;0;16;0;0;0;0;7;5;11;4
Alba;Fata;2229;20;0;2;40;4;1;2;0;0;0;0;0;1;0;0;0;1;1;4;0
Alba;Fata Abrudului;1561;108;108;0;26;12;8;4;3;3;0;0;1;0;0;0;0;3;3;1;0
Alba;Fata Cristesei;2452;159;0;0;40;9;22;7;1;0;0;0;0;0;0;0;0;2;4;3;0
Alba;Fata Lapusului;2461;113;20;0;51;6;11;11;0;0;0;1;0;0;0;0;0;5;1;6;0
Alba;Fata Pietrii;7785;59;126;0;63;2;1;5;1;0;1;1;1;0;0;0;0;1;1;1;2
Alba;Fata-Lazesti;7231;90;0;0;24;4;10;8;0;0;0;0;0;0;0;0;0;0;0;4;0
Alba;Feisa;5149;31;1368;238;61;7;3;0;1;79;3;2;4;0;0;0;2;13;0;1;2
Alba;Fenes;2005;210;6507;84;573;78;20;7;0;11;38;45;35;5;4;0;1;26;23;26;11
Alba;Feresti;3547;56;129;0;0;2;0;4;2;0;0;0;1;0;0;0;0;0;0;0;0
Alba;Fericet;4810;174;0;0;94;14;11;16;1;0;0;0;0;0;0;0;0;2;1;5;3
Alba;Feteni;1749;107;55;0;24;0;0;7;4;0;3;1;0;0;0;0;0;0;1;2;0
Alba;Ficaresti;8540;43;4;0;0;5;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0
Alba;Floresti;1570;134;0;0;53;6;12;7;4;0;0;0;0;0;0;0;0;3;1;1;1
Alba;Floresti;3556;28;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Floresti;6681;94;0;0;2;1;0;3;4;0;0;0;0;0;0;0;0;1;0;0;0
Alba;Floresti;7240;33;0;0;30;1;1;3;1;0;0;0;0;0;0;0;0;0;0;4;0
Alba;Furduiesti;1589;180;0;8;87;11;13;14;2;0;0;0;0;0;1;0;0;2;3;1;2
