JUDETUL ALBA,SANCEL,LATIU GHEORGHE,PARTIDUL DEMOCRAT,2000,7357
JUDETUL ALBA,SANTIMBRU,POPA IOAN IANCU,PARTIDUL DEMOCRAT,2000,7393
JUDETUL ALBA,SOHODOL,COROIU N. IOSIF,PARTIDUL UNITATII NATIONALE ROMANE,2000,7455
JUDETUL ALBA,SONA,MARGINEAN EMIL,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,7874
JUDETUL ALBA,SPRING,CIUCA IOAN,ALIANTA PENTRU ROMANIA,2000,7954
JUDETUL ALBA,STREMT,POPA TRAIAN STEFAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,7776
JUDETUL ALBA,SUGAG,JINAR CONSTANTIN,PARTIDUL NATIONAL LIBERAL,2000,8023
JUDETUL ALBA,UNIREA,METEA CRISTINEL IOAN,ALIANTA PENTRU ROMANIA,2000,8167
JUDETUL ALBA,VADU MOTILOR,HRISTEA EUGENIA,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,8238
JUDETUL ALBA,VALEA LUNGA,DENES GHEORGHE,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,8363
JUDETUL ALBA,VIDRA,BURZ ION,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,8434
JUDETUL ALBA,VINTU DE JOS,PIENAR IOSIF-NICOLAE,ALIANTA PENTRU ROMANIA,2000,8835
JUDETUL ALBA,MUNICIPIUL ALBA IULIA,HAVA MIRCEA GHEORGHE,PARTIDUL DEMOCRAT,2004,1017
JUDETUL ALBA,MUNICIPIUL AIUD,JOSAN MIHAI-HORATIU,PARTIDUL NATIONAL LIBERAL,2004,1213
JUDETUL ALBA,MUNICIPIUL BLAJ,BACILA SIMION ALEXANDRU,PARTIDUL NATIONAL LIBERAL,2004,1348
JUDETUL ALBA,MUNICIPIUL SEBES,DANCILA ADRIAN ALEXANDRU,PARTIDUL SOCIAL DEMOCRAT,2004,1874
JUDETUL ALBA,ORAS ABRUD,RATIU TIBERIU IOAN,PARTIDUL DEMOCRAT,2004,1151
JUDETUL ALBA,ORAS BAIA DE ARIES,MARZAN SILVIU,PARTIDUL SOCIAL DEMOCRAT,2004,2915
JUDETUL ALBA,ORAS CAMPENI,ANDRES I. IOAN-CALIN,PARTIDUL ROMANIA MARE,2004,1455
JUDETUL ALBA,ORAS CUGIR,TEBAN ADRIAN OVIDIU,PARTIDUL NATIONAL LIBERAL,2004,1696
JUDETUL ALBA,ORAS OCNA MURES,CRISTEA SORIN,PARTIDUL DEMOCRAT,2004,1794
JUDETUL ALBA,ORAS TEIUS,MATEICA IACOB DORIN CORNEL,PARTIDUL DEMOCRAT,2004,8096
JUDETUL ALBA,ORAS ZLATNA,PONORAN SILVIU,PARTIDUL NATIONAL LIBERAL,2004,1936
JUDETUL ALBA,ALBAC,TODEA PETRU TIBERIU,PARTIDUL DEMOCRAT,2004,2149
JUDETUL ALBA,ALMASU MARE,ZAHARIE ARON,PARTIDUL SOCIAL DEMOCRAT,2004,2318
JUDETUL ALBA,ARIESENI,JURJ VASILE MARIN,PARTIDUL UMANIST DIN ROMANIA (SOCIAL LIBERAL),2004,2390
JUDETUL ALBA,AVRAM IANCU,HELER SANDU,PARTIDUL SOCIAL DEMOCRAT,2004,2586
JUDETUL ALBA,BERGHIN,BICA VASILE,PARTIDUL SOCIAL DEMOCRAT,2004,2997
JUDETUL ALBA,BISTRA,GLIGOR TRAIAN,PARTIDUL NATIONAL LIBERAL,2004,3048
JUDETUL ALBA,BLANDIANA,GHERMAN NICOLAE,PARTIDUL SOCIAL DEMOCRAT,2004,3404
JUDETUL ALBA,BUCIUM,AMARIEI-DAVID SORINEL,PARTIDUL DEMOCRAT,2004,3468
JUDETUL ALBA,CENADE,NEAMTU ILIE,PARTIDUL SOCIAL DEMOCRAT,2004,3770
JUDETUL ALBA,CERGAU,BOZOSAN LUCIAN,PARTIDUL UMANIST DIN ROMANIA (SOCIAL LIBERAL),2004,3805
JUDETUL ALBA,CERU-BACAINTI,GIURGIU AUREL,PARTIDUL SOCIAL DEMOCRAT,2004,3850
JUDETUL ALBA,CETATEA DE BALTA,CUCUI MIHAILA,PARTIDUL DEMOCRAT,2004,3967
JUDETUL ALBA,CIUGUD,DAMIAN GHEORGHE,PARTIDUL SOCIAL DEMOCRAT,2004,1080
JUDETUL ALBA,CIURULEASA,MIHALACHI IOAN,PARTIDUL NATIONAL LIBERAL,2004,4017
JUDETUL ALBA,CALNIC,IENCIU NICOLAE,PARTIDUL SOCIAL DEMOCRAT,2004,4115
JUDETUL ALBA,CRACIUNELU DE JOS,BUBUR LENUTA,PARTIDUL SOCIAL DEMOCRAT,2004,4197
JUDETUL ALBA,CRICAU,LUPSAN EMIL,PARTIDUL NATIONAL LIBERAL,2004,4151
JUDETUL ALBA,CUT,CUTEAN VASILE-EUGEN,PARTIDUL SOCIAL DEMOCRAT,2004,4124
JUDETUL ALBA,DAIA ROMANA,DAMIAN DORU,PARTIDUL SOCIAL DEMOCRAT,2004,4259
JUDETUL ALBA,DOSTAT,ALBU VASILE,PARTIDUL SOCIAL DEMOCRAT,2004,4277
JUDETUL ALBA,FARAU,STAVAR AUGUSTIN,PARTIDUL NATIONAL LIBERAL,2004,4311
JUDETUL ALBA,GALDA DE JOS,RAICA ROMULUS,PARTIDUL SOCIAL DEMOCRAT,2004,4375
JUDETUL ALBA,GARBOVA,FULEA IOAN,PARTIDUL SOCIAL DEMOCRAT,2004,4491
JUDETUL ALBA,GARDA DE SUS,VIRCIU MARIN,PARTIDUL SOCIAL DEMOCRAT,2004,4534
JUDETUL ALBA,HOPARTA,POPA AUGUSTIN,PARTIDUL SOCIAL DEMOCRAT,2004,4712
JUDETUL ALBA,HOREA,OLAR CORNELIU,PARTIDUL DEMOCRAT,2004,4776
JUDETUL ALBA,IGHIU,RUSU TRAIAN,PARTIDUL DEMOCRAT,2004,4936
JUDETUL ALBA,INTREGALDE,LUPSA SILVIU,PARTIDUL NATIONAL TARANESC CRESTIN DEMOCRAT,2004,4990
JUDETUL ALBA,JIDVEI,HORHAT IOAN,PARTIDUL DEMOCRAT,2004,5112
JUDETUL ALBA,LIVEZILE,IRIMIE OCTAVIU-DANIEL,PARTIDUL UMANIST DIN ROMANIA (SOCIAL LIBERAL),2004,5167
JUDETUL ALBA,LOPADEA NOUA,INDREIU MARIAN CATALIN,PARTIDUL SOCIAL DEMOCRAT,2004,5229
JUDETUL ALBA,LUNCA MURESULUI,RUSU IOAN,PARTIDUL SOCIAL DEMOCRAT,2004,5318
JUDETUL ALBA,LUPSA,MACAIET ALEXANDRU,PARTIDUL SOCIAL DEMOCRAT,2004,5345
