SOFRONEA,1966,2447
SOFRONEA,1977,2787
SOFRONEA,1992,2551
SAGU,1930,4881
SAGU,1956,5113
SAGU,1966,5070
SAGU,1977,5095
SAGU,1992,3858
SEITIN,1930,4539
SEITIN,1956,3652
SEITIN,1966,3304
SEITIN,1977,2988
SEITIN,1992,2713
SEPREUS,1930,4046
SEPREUS,1956,4008
SEPREUS,1966,3534
SEPREUS,1977,3042
SEPREUS,1992,2759
SICULA,1930,8457
SICULA,1956,8044
SICULA,1966,7006
SICULA,1977,6024
SICULA,1992,4974
SILINDIA,1930,3420
SILINDIA,1956,2945
SILINDIA,1966,2194
SILINDIA,1977,1494
SILINDIA,1992,1031
SIMAND,1930,4693
SIMAND,1956,4642
SIMAND,1966,4667
SIMAND,1977,4657
SIMAND,1992,4049
SIRIA,1930,9299
SIRIA,1956,8672
SIRIA,1966,8630
SIRIA,1977,8965
SIRIA,1992,8057
SISTAROVAT,1930,2969
SISTAROVAT,1956,2221
SISTAROVAT,1966,1503
SISTAROVAT,1977,
SISTAROVAT,1992,
TAUT,1930,6848
TAUT,1956,5451
TAUT,1966,4596
TAUT,1977,3770
TAUT,1992,2489
TARNOVA,1930,11491
TARNOVA,1956,10023
TARNOVA,1966,8837
TARNOVA,1977,7748
TARNOVA,1992,6144
VARADIA DE MURES,1930,4213
VARADIA DE MURES,1956,3351
VARADIA DE MURES,1966,3002
VARADIA DE MURES,1977,2829
VARADIA DE MURES,1992,2279
VINGA,1930,8540
VINGA,1956,8150
VINGA,1966,7638
VINGA,1977,7451
VINGA,1992,6418
VARFURILE,1930,5556
VARFURILE,1956,5147
VARFURILE,1966,4890
VARFURILE,1977,4431
VARFURILE,1992,3738
VLADIMIRESCU,1930,8579
VLADIMIRESCU,1956,9127
VLADIMIRESCU,1966,9851
VLADIMIRESCU,1977,12116
VLADIMIRESCU,1992,9764
ZABRANI,1930,5880
ZABRANI,1956,5645
ZABRANI,1966,5512
ZABRANI,1977,5217
ZABRANI,1992,4373
ZARAND,1930,5149
ZARAND,1956,4529
ZARAND,1966,4030
ZARAND,1977,3487
ZARAND,1992,2733
ZERIND,1930,4703
ZERIND,1956,3833
ZERIND,1966,3095
ZERIND,1977,2181
ZERIND,1992,1679
ZIMANDU NOU,1930,3103
ZIMANDU NOU,1956,3502
ZIMANDU NOU,1966,4478
ZIMANDU NOU,1977,4927
ZIMANDU NOU,1992,4561
JUDETUL ARGES,1930,394268
JUDETUL ARGES,1956,483741
JUDETUL ARGES,1966,529833
JUDETUL ARGES,1977,631918
JUDETUL ARGES,1992,681206
PITESTI,1930,21117
PITESTI,1956,38330
PITESTI,1966,60113
PITESTI,1977,123735
PITESTI,1992,179337
CAMPULUNG,1930,14397
CAMPULUNG,1956,18880
CAMPULUNG,1966,24877
CAMPULUNG,1977,31533
CAMPULUNG,1992,44125
COLIBASI,1930,3990
COLIBASI,1956,5458
COLIBASI,1966,5527
COLIBASI,1977,9279
COLIBASI,1992,33897
COSTESTI,1930,7675
COSTESTI,1956,9022
COSTESTI,1966,9930
COSTESTI,1977,10471
COSTESTI,1992,12040
CURTEA DE ARGES,1930,7233
CURTEA DE ARGES,1956,10764
CURTEA DE ARGES,1966,16424
CURTEA DE ARGES,1977,24645
CURTEA DE ARGES,1992,35824
TOPOLOVENI,1930,3937
TOPOLOVENI,1956,5384
TOPOLOVENI,1966,5605
TOPOLOVENI,1977,6196
TOPOLOVENI,1992,9458
ALBESTII DE ARGES,1930,3759
ALBESTII DE ARGES,1956,4583
ALBESTII DE ARGES,1966,4856
ALBESTII DE ARGES,1977,5881
ALBESTII DE ARGES,1992,5837
ALBESTII DE MUSCEL,1930,3333
ALBESTII DE MUSCEL,1956,4139
ALBESTII DE MUSCEL,1966,4406
ALBESTII DE MUSCEL,1977,4845
ALBESTII DE MUSCEL,1992,4627
ALBOTA,1930,3613
ALBOTA,1956,4043
ALBOTA,1966,4141
ALBOTA,1977,4797
ALBOTA,1992,3801
ANINOASA,1930,2548
ANINOASA,1956,3172
ANINOASA,1966,3249
ANINOASA,1977,3629
ANINOASA,1992,3408
AREFU,1930,2599
AREFU,1956,3068
AREFU,1966,7843
AREFU,1977,3847
AREFU,1992,3306
BASCOV,1930,3059
BASCOV,1956,4412
